,latitude,longitude,address
157412,31.242363,121.480168,31.242363-121.480168
157419,31.239726,121.510008,31.239726-121.510008
157487,31.233708,121.454373,31.233708-121.454373
158736,31.012103,121.414993,31.012103-121.414993
158771,31.123026,120.926117,31.123026-120.926117
161793,31.043246,120.924071,31.043246-120.924071
161798,31.06954,120.928583,31.06954-120.928583
162207,31.161896,121.135143,31.161896-121.135143
162284,30.881092,121.162611,30.881092-121.162611
162363,31.156954,121.146623,31.156954-121.146623
162364,31.154144,121.118793,31.154144-121.118793
162528,30.899462,121.164967,30.899462-121.164967
162898,30.941552,121.1676,30.941552-121.1676
164723,31.052413,121.218957,31.052413-121.218957
164801,31.063518,121.215539,31.063518-121.215539
170981,31.359987,121.417748,31.359987-121.417748
171102,31.315817,121.359172,31.315817-121.359172
171154,31.295365,121.16604,31.295365-121.16604
172636,31.260173,121.348277,31.260173-121.348277
172638,47.35092,130.301233,47.35092-130.301233
173009,31.249356,121.410275,31.249356-121.410275
173514,31.308523,121.423052,31.308523-121.423052
174919,31.249796,121.582523,31.249796-121.582523
175703,31.200779,121.533917,31.200779-121.533917
176353,31.154497,121.501351,31.154497-121.501351
176558,31.246782,121.528695,31.246782-121.528695
176559,31.193331,121.599017,31.193331-121.599017
176795,31.212034,121.476918,31.212034-121.476918
177538,31.231316,121.54242,31.231316-121.54242
177586,31.232395,121.564673,31.232395-121.564673
177694,31.186202,121.54793,31.186202-121.54793
177848,31.192182,121.466139,31.192182-121.466139
177925,31.201009,121.610969,31.201009-121.610969
178032,31.197367,121.479142,31.197367-121.479142
178034,31.209454,121.524245,31.209454-121.524245
178046,31.265994,121.519353,31.265994-121.519353
178469,31.26153,121.582783,31.26153-121.582783
178583,31.177098,121.525845,31.177098-121.525845
178699,31.249067,121.543826,31.249067-121.543826
178839,31.256654,121.599709,31.256654-121.599709
180528,31.211781,121.405437,31.211781-121.405437
180866,31.209344,121.414036,31.209344-121.414036
181650,31.236842,121.433815,31.236842-121.433815
182412,31.188183,121.440258,31.188183-121.440258
182509,31.149062,121.392526,31.149062-121.392526
182510,31.170526,121.34996,31.170526-121.34996
183027,31.21882,121.436387,31.21882-121.436387
183051,31.238453,121.377045,31.238453-121.377045
183054,31.236897,121.363985,31.236897-121.363985
183368,31.1917,121.440205,31.1917-121.440205
183452,31.21176,121.45331,31.21176-121.45331
183523,31.198912,121.444187,31.198912-121.444187
183531,31.236055,121.434759,31.236055-121.434759
183537,31.186411,121.402496,31.186411-121.402496
183649,31.193608,121.448072,31.193608-121.448072
183739,31.191496,121.41093,31.191496-121.41093
183806,31.17148,121.411456,31.17148-121.411456
184350,31.214689,121.426655,31.214689-121.426655
186567,31.252588,121.463263,31.252588-121.463263
