,latitude,longitude,address
0,31.237872,121.470259,31.237872-121.470259
14,31.246946,121.513919,31.246946-121.513919
15,31.232877,121.48753,31.232877-121.48753
28,31.227933,121.45361,31.227933-121.45361
50,31.235682,121.487831,31.235682-121.487831
58,31.251358,121.485526,31.251358-121.485526
76,31.244229,121.475231,31.244229-121.475231
81,31.23936,121.488752,31.23936-121.488752
82,31.244859,121.489305,31.244859-121.489305
88,31.23543,121.447652,31.23543-121.447652
92,31.239655,121.478097,31.239655-121.478097
116,31.228014,121.477667,31.228014-121.477667
133,31.328545,121.538592,31.328545-121.538592
135,31.234259,121.52572,31.234259-121.52572
169,31.229094,121.480266,31.229094-121.480266
173,31.232518,121.465177,31.232518-121.465177
185,31.225207,121.452948,31.225207-121.452948
194,31.242893,121.465382,31.242893-121.465382
201,31.240874,121.518086,31.240874-121.518086
216,31.217516,121.452872,31.217516-121.452872
231,31.228017,121.444777,31.228017-121.444777
233,31.221325,121.448881,31.221325-121.448881
243,31.23271,121.455345,31.23271-121.455345
249,31.236138,121.463199,31.236138-121.463199
253,31.225275,121.47164,31.225275-121.47164
270,31.24143,121.475172,31.24143-121.475172
309,31.232857,121.475333,31.232857-121.475333
312,31.228726,121.482748,31.228726-121.482748
322,31.236381,121.484201,31.236381-121.484201
335,31.242514,121.493696,31.242514-121.493696
