,num_base_stations,num_edge_servers,placer_name,latency,workload
0,3000,100,K-means,2.3280673155784943,235410.4476428747
1,3000,100,Top-K,12.239776673256744,171129.4900912917
2,3000,100,Random,11.031677699480646,171166.2352513593
3,3000,100,weighted_k_means,2.4191696130838913,223800.0613434898
4,3000,200,K-means,1.382017258849638,103164.60554062981
5,3000,200,Top-K,6.784628968350366,77735.2197038665
6,3000,200,Random,7.634786015827819,101889.87676816597
7,3000,200,weighted_k_means,1.4740239478458008,100580.42309960595
8,3000,300,K-means,1.0411914420384338,65563.03814460413
9,3000,300,Top-K,5.674845911184143,44420.76332661448
10,3000,300,Random,9.699042904815771,67368.63036006677
11,3000,300,weighted_k_means,1.100805439528871,61160.41926489423
12,3000,400,K-means,0.8402836978322247,51110.54922536041
13,3000,400,Top-K,4.450295318294109,28897.75530264444
14,3000,400,Random,5.842637995589874,51761.877738112365
15,3000,400,weighted_k_means,0.8957741992299033,48827.46364061506
16,3000,500,K-means,0.7040317248784543,41279.22887541411
17,3000,500,Top-K,3.9569055781647204,21390.239100562016
18,3000,500,Random,4.408911911782933,41794.391480451275
19,3000,500,weighted_k_means,0.7491927782415598,39963.66524443582
